name,value,unit,min,max,frozen,error
norm,9.680e-01,,0.000e+00,nan,False,2.242e-02
tilt,-3.413e-01,,nan,nan,False,3.500e-02
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
index,2.477e+00,,nan,nan,False,8.903e-02
amplitude,1.454e-11,cm-2 s-1 TeV-1,nan,nan,False,9.703e-13
reference,5.560e-01,TeV,nan,nan,True,0.000e+00
lon_0,4.455e+01,deg,nan,nan,False,2.848e-03
lat_0,-8.962e+00,deg,nan,nan,False,2.914e-03
norm,9.237e-01,,0.000e+00,nan,False,1.771e-02
tilt,0.000e+00,,nan,nan,True,0.000e+00
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
norm,8.007e-01,,0.000e+00,nan,False,1.619e-02
tilt,0.000e+00,,nan,nan,True,0.000e+00
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
norm,7.142e-01,,0.000e+00,nan,False,1.407e-02
tilt,0.000e+00,,nan,nan,True,0.000e+00
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
norm,7.881e-01,,0.000e+00,nan,False,1.414e-02
tilt,0.000e+00,,nan,nan,True,0.000e+00
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
norm,8.413e-01,,0.000e+00,nan,False,1.584e-02
tilt,0.000e+00,,nan,nan,True,0.000e+00
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
norm,7.895e-01,,0.000e+00,nan,False,1.448e-02
tilt,0.000e+00,,nan,nan,True,0.000e+00
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
norm,8.824e-01,,0.000e+00,nan,False,2.358e-02
tilt,0.000e+00,,nan,nan,True,0.000e+00
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
