name,value,unit,min,max,frozen,error
norm,9.552e-01,,0.000e+00,nan,False,1.923e-02
tilt,-3.057e-01,,nan,nan,True,2.760e-02
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
index,2.615e+00,,nan,nan,True,8.589e-02
amplitude,1.418e-11,cm-2 s-1 TeV-1,nan,nan,False,9.564e-13
reference,5.560e-01,TeV,nan,nan,True,0.000e+00
lon_0,4.455e+01,deg,nan,nan,True,2.889e-03
lat_0,-8.963e+00,deg,-9.000e+01,9.000e+01,True,2.974e-03
norm,1.061e+00,,0.000e+00,nan,False,2.265e-02
tilt,-2.328e-01,,nan,nan,True,2.712e-02
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
norm,1.098e+00,,0.000e+00,nan,False,2.742e-02
tilt,-4.036e-01,,nan,nan,True,2.646e-02
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
norm,1.249e+00,,0.000e+00,nan,False,3.439e-02
tilt,-5.689e-01,,nan,nan,True,2.571e-02
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
norm,1.256e+00,,0.000e+00,nan,False,3.611e-02
tilt,-4.128e-01,,nan,nan,True,2.625e-02
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
norm,1.188e+00,,0.000e+00,nan,False,3.871e-02
tilt,-3.165e-01,,nan,nan,True,2.773e-02
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
norm,1.120e+00,,0.000e+00,nan,False,3.635e-02
tilt,-3.179e-01,,nan,nan,True,2.668e-02
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
norm,1.106e+00,,0.000e+00,nan,False,5.534e-02
tilt,-1.916e-01,,nan,nan,True,4.185e-02
reference,1.000e+00,TeV,nan,nan,True,0.000e+00
